#Campaign GEM 2008/2009 Modeling Challenge
#Event 1
#Metrics 4
#Instrument YKC
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT/s] [nT/s] [nT/s]
2003 10 29 3 27 30     69.0000    -61.4000      0.1233      0.1833     -0.0133
2003 10 29 3 28 30     69.0000    -61.4000      0.0433      0.1050     -0.3250
2003 10 29 3 29 30     69.0000    -61.4000      0.3683      0.1717      0.1233
2003 10 29 3 30 30     69.0000    -61.4000      0.0817      0.2783      0.4317
2003 10 29 3 31 30     69.0000    -61.4000     -0.1217     -0.3900     -0.2717
2003 10 29 3 32 30     69.0000    -61.4000     -0.3983     -0.1233     -0.3433
2003 10 29 3 33 30     69.0000    -61.4000      0.1433     -0.0033     -0.4900
2003 10 29 3 34 30     69.0000    -61.4000      0.5733     -0.1133      0.0100
2003 10 29 3 35 30     69.0000    -61.4000      0.3283      0.2117     -0.1800
2003 10 29 3 36 30     69.0000    -61.4000     -0.1783      0.1100      0.0150
2003 10 29 3 37 30     69.0000    -61.4000     -0.0617     -0.1233      0.2417
2003 10 29 3 38 30     69.0000    -61.4000     -0.1550     -0.3117      0.0267
2003 10 29 3 39 30     69.0000    -61.4000     -0.2650     -0.4233     -0.0867
2003 10 29 3 40 30     69.0000    -61.4000     -0.1867     -0.5283      0.0367
2003 10 29 3 41 30     69.0000    -61.4000      0.0850     -0.2183      0.2917
2003 10 29 3 42 30     69.0000    -61.4000      0.1283      0.0817      0.3817
2003 10 29 3 43 30     69.0000    -61.4000      0.3533      0.2950     -0.0500
2003 10 29 3 44 30     69.0000    -61.4000      0.4533      0.1200      0.1467
2003 10 29 3 45 30     69.0000    -61.4000      0.5483     -0.1033     -0.1283
2003 10 29 3 46 30     69.0000    -61.4000      0.0667     -0.1550      0.0833
2003 10 29 3 47 30     69.0000    -61.4000      0.1233      0.3017      0.1533
2003 10 29 3 48 30     69.0000    -61.4000      0.0583      0.1533     -0.0067
2003 10 29 3 49 30     69.0000    -61.4000      0.0717      0.3433     -0.1867
2003 10 29 3 50 30     69.0000    -61.4000     -0.0183      0.2750     -0.0183
2003 10 29 3 51 30     69.0000    -61.4000     -0.3617     -0.0167      0.2217
2003 10 29 3 52 30     69.0000    -61.4000     -0.4233      0.0583     -0.0017
2003 10 29 3 53 30     69.0000    -61.4000     -0.3750     -0.1983     -0.0400
2003 10 29 3 54 30     69.0000    -61.4000     -0.1417     -0.0533      0.0883
2003 10 29 3 55 30     69.0000    -61.4000      0.2183     -0.2650     -0.1400
2003 10 29 3 56 30     69.0000    -61.4000      0.2833      0.0650     -0.4183
2003 10 29 3 57 30     69.0000    -61.4000      0.3950      0.3700     -0.1917
2003 10 29 3 58 30     69.0000    -61.4000      0.1400      0.3217      0.4083
2003 10 29 3 59 30     69.0000    -61.4000     -0.0733     -0.0433      0.3050
2003 10 29 4 0 30     69.0000    -61.4000      0.0233     -0.1350      0.1600
2003 10 29 4 1 30     69.0000    -61.4000     -0.0233     -0.0617      0.2350
2003 10 29 4 2 30     69.0000    -61.4000     -0.4067     -0.3333     -0.2133
2003 10 29 4 3 30     69.0000    -61.4000     -0.0717      0.2500     -0.2317
2003 10 29 4 4 30     69.0000    -61.4000     -0.0883      0.3300      0.1417
2003 10 29 4 5 30     69.0000    -61.4000     -0.2883     -0.0300      0.3533
2003 10 29 4 6 30     69.0000    -61.4000     -0.4117      0.2367      0.1100
2003 10 29 4 7 30     69.0000    -61.4000     -0.2367      0.0667     -0.2000
2003 10 29 4 8 30     69.0000    -61.4000     -0.0800      0.2150      0.0483
2003 10 29 4 9 30     69.0000    -61.4000     -0.2083     -0.0650      0.0650
2003 10 29 4 10 30     69.0000    -61.4000     -0.0467     -0.2417     -0.0983
2003 10 29 4 11 30     69.0000    -61.4000      0.1433     -0.0233     -0.1233
2003 10 29 4 12 30     69.0000    -61.4000      0.1233     -0.0850     -0.0800
2003 10 29 4 13 30     69.0000    -61.4000      0.0000     -0.2800      0.0883
2003 10 29 4 14 30     69.0000    -61.4000     -0.3717      0.1867     -0.0150
2003 10 29 4 15 30     69.0000    -61.4000     -0.1900     -0.0233      0.0700
2003 10 29 4 16 30     69.0000    -61.4000     -0.0933      0.0567     -0.1300
2003 10 29 4 17 30     69.0000    -61.4000      0.1167      0.4450      0.1083
